density chem.potencial pressure energy gibbs
91.7109932 5728.7297171 2364199.6318438 2627372.8134385 54427.1986648
93.1610164 5758.7363331 2438145.4273885 2706873.5393604 55227.1665303
94.6262333 5788.7428805 2514014.7831747 2788385.3286582 56035.2021558
96.1067230 5818.7493605 2591847.6579456 2871949.0540686 56851.3475623
97.6025646 5848.7557740 2671684.6319586 2957606.2145906 57675.6447706
99.1138373 5878.7621220 2753566.9134194 3045398.9419197 58508.1358017
100.6406203 5908.7684056 2837536.3449498 3135370.0069154 59348.8626763
102.1829925 5938.7746257 2923635.4100884 3227562.8261020 60197.8674154
103.7410333 5968.7807833 3011907.2398245 3322021.4682027 61055.1920397
105.3148216 5998.7868793 3102395.6191652 3418790.6607062 61920.8785701
106.9044367 6028.7929147 3195144.9937365 3517915.7964684 62794.9690273
108.5099576 6058.7988903 3290200.4764162 3619442.9403450 63677.5054322
110.1314636 6088.8048071 3387607.8540016 3723418.8358591 64568.5298055
111.7690337 6118.8106658 3487413.5939095 3829890.9119013 65468.0841679
113.4227471 6148.8164674 3589664.8509097 3938907.2894635 66376.2105401
115.0926829 6178.8222127 3694409.4738917 4050516.7884051 67292.9509429
116.7789202 6208.8279024 3801696.0126651 4164768.9342534 68218.3473970
118.4815382 6238.8335375 3911573.7247921 4281713.9650369 69152.4419230
120.2006160 6268.8391186 4024092.5824549 4401402.8381516 70095.2765416
121.9362328 6298.8446466 4139303.2793547 4523887.2372609 71046.8932735
123.6884676 6328.8501221 4257257.2376456 4649219.5792288 72007.3341392
125.4573997 6358.8555461 4378006.6148998 4777453.0210857 72976.6411595
127.2431081 6388.8609190 4501604.3111080 4908641.4670283 73954.8563549
129.0456719 6418.8662418 4628103.9757118 5042839.5754523 74942.0217460
130.8651704 6448.8715151 4757560.0146697 5180102.7660185 75938.1793534
132.7016826 6478.8767395 4890027.5975567 5320487.2267519 76943.3711976
134.5552877 6508.8819158 5025562.6646963 5464049.9211743 77957.6392993
136.4260648 6538.8870446 5164221.9343269 5610848.5954703 78981.0256790
138.3140931 6568.8921265 5306062.9098002 5760941.7856859 80013.5723572
140.2194516 6598.8971623 5451143.8868142 5914388.8249612 81055.3213544
142.1422196 6628.9021525 5599523.9606781 6071249.8507957 82106.3146912
144.0824761 6658.9070977 5751263.0336114 6231585.8123474 83166.5943881
146.0403002 6688.9119986 5906421.8220759 6395458.4777643 84236.2024655
148.0157712 6718.9168557 6065061.8641411 6562930.4415502 85315.1809440
150.0089682 6748.9216696 6227245.5268826 6734065.1319631 86403.5718439
152.0199702 6778.9264410 6393036.0138138 6908926.8184469 87501.4171859
154.0488564 6808.9311703 6562497.3723514 7087580.6190966 88608.7589902
156.0957060 6838.9358581 6735694.5013132 7270092.5081565 89725.6392775
158.1605981 6868.9405050 6912693.1584498 7456529.3235517 90852.1000680
160.2436117 6898.9451115 7093559.9680097 7646958.7744531 91988.1833823
162.3448262 6928.9496781 7278362.4283370 7841449.4488754 93133.9312407
164.4643205 6958.9542053 7467168.9195028 8040070.8213083 94289.3856637
166.6021738 6988.9586936 7660048.7109699 8242893.2603810 95454.5886717
168.7584653 7018.9631436 7857071.9692905 8449988.0365604 96629.5822850
170.9332740 7048.9675558 8058309.7658375 8661427.3298817 97814.4085241
173.1266792 7078.9719305 8263834.0845682 8877284.2377133 99009.1094093
175.3387599 7108.9762683 8473717.8298226 9097632.7825535 100213.7269609
177.5695953 7138.9805697 8688034.8341538 9322547.9198622 101428.3031995
179.8192646 7168.9848351 8906859.8661922 9552105.5459245 102652.8801452
182.0878467 7198.9890649 9130268.6385429 9786382.5057482 103887.4998184
184.3754210 7228.9932596 9358337.8157162 10025456.6009943 105132.2042396
186.6820665 7258.9974197 9591145.0220912 10269406.5979407 106387.0354290
189.0078623 7289.0015455 9828768.8499134 10518312.2354796 107652.0354069
191.3528876 7319.0056375 10071288.8673247 10772254.2331477 108927.2461937
193.7172216 7349.0096961 10318785.6264267 11031314.2991896 110212.7098097
196.1009433 7379.0137217 10571340.6713784 11295575.1386550 111508.4682752
198.5041318 7409.0177148 10829036.5465254 11565120.4615284 112814.5636104
200.9268664 7439.0216756 11091956.8045638 11840034.9908927 114131.0378358
203.3692262 7469.0256046 11360186.0147364 12120404.4711258 115457.9329715
205.8312902 7499.0295021 11633809.7710629 12406315.6761302 116795.2910379
208.3131377 7529.0333686 11912914.7006030 12697856.4175966 118143.1540552
210.8148477 7559.0372045 12197588.4717523 12995115.5532995 119501.5640437
213.3364994 7589.0410099 12487919.8025723 13298182.9954276 120870.5630237
215.8781719 7619.0447855 12783998.4691533 13607149.7189460 122250.1930154
218.4399444 7649.0485314 13085915.3140102 13922107.7699927 123640.4960390
221.0218960 7679.0522481 13393762.2545122 14243150.2743080 125041.5141150
223.6241058 7709.0559358 13707632.2913450 14570371.4456967 126453.2892634
226.2466530 7739.0595949 14027619.5170070 14903866.5945243 127875.8635045
228.8896166 7769.0632258 14353819.1243384 15243732.1362462 129309.2788585
231.5530759 7799.0668288 14686327.4150834 15590065.5999696 130753.5773458
234.2371099 7829.0704042 15025241.8084860 15942965.6370497 132208.8009864
236.9417978 7859.0739522 15370660.8499186 16302532.0297181 133674.9918007
239.6672188 7889.0774733 15722684.2195443 16668865.6997453 135152.1918088
242.4134519 7919.0809677 16081412.7410124 17042068.7171357 136640.4430310
245.1805762 7949.0844357 16446948.3901868 17422244.3088564 138139.7874874
247.9686711 7979.0878777 16819394.3039079 17809496.8675991 139650.2671983
250.7778154 8009.0912939 17198854.7887880 18203931.9605755 141171.9241839
253.6080885 8039.0946845 17585435.3300392 18605656.3383450 142704.8004643
256.4595694 8069.0980500 17979242.6003356 19014777.9436770 144248.9380598
259.3323373 8099.1013906 18380384.4687077 19431405.9204453 145804.3789904
262.2264712 8129.1047064 18788970.0094706 19855650.6225566 147371.1652766
265.1420504 8159.1079979 19205109.5111859 20287623.6229118 148949.3389383
268.0791540 8189.1112653 19628914.4856557 20727437.7224003 150538.9419957
271.0378610 8219.1145089 20060497.6769508 21175206.9589285 152140.0164692
274.0182507 8249.1177288 20499973.0704719 21631046.6164806 153752.6043787
277.0204021 8279.1209255 20947455.9020436 22095073.2342126 155376.7477445
280.0443944 8309.1240990 21403062.6670426 22567404.6155808 157012.4885867
283.0903068 8339.1272497 21866911.1295584 23048159.8375022 158659.8689255
286.1582183 8369.1303778 22339120.3315872 23537459.2595485 160318.9307811
289.2482081 8399.1334836 22819810.6022596 24035424.5331741 161989.7161735
292.3603554 8429.1365673 23309103.5671011 24542178.6109759 163672.2671230
295.4947392 8459.1396291 23807122.1573262 25057845.7559880 165366.6256497
298.6514387 8489.1426693 24313990.6191652 25582551.5510085 167072.8337737
301.8305330 8519.1456880 24829834.5232250 26116422.9079598 168790.9335151
305.0321013 8549.1486856 25354780.7738826 26659588.0772828 170520.9668942
308.2562227 8579.1516622 25888957.6187120 27212176.6573631 172262.9759310
311.5029764 8609.1546181 26432494.6579443 27774319.6039914 174017.0026456
314.7724414 8639.1575534 26985522.8539612 28346149.2398574 175783.0890582
